,EVICTION_ZIP,Location,Latitude,Longitude
0,11373,40.736076000000004,-73.87804,
1,10016,40.746179999999995,-73.97759,
2,10462,40.842172999999995,-73.85862,
3,11225,40.662892,-73.95509,
4,10452,40.838745,-73.92234,
5,10002,40.717040000000004,-73.987,
6,10472,40.830409,-73.86845,
7,11435,40.700068,-73.80986,
8,10460,40.84095,-73.88036,
9,10036,40.759510999999996,-73.99019,
10,11224,40.576589,-73.99172,
11,10455,40.815559,-73.90771,
12,10453,40.853017,-73.91214000000001,
13,11373,40.736076000000004,-73.87804,
14,10466,40.89095,-73.84702,
15,11212,40.662191,-73.91328,
16,11432,40.714144,-73.79324,
17,11213,40.670937,-73.93459,
18,11225,40.662892,-73.95509,
19,10016,40.746179999999995,-73.97759,
20,11106,40.762012,-73.93146999999999,
21,10453,40.853017,-73.91214000000001,
22,10466,40.89095,-73.84702,
23,10011,40.741012,-74.00012,
24,10452,40.838745,-73.92234,
25,10036,40.759510999999996,-73.99019,
26,10467,40.872265000000006,-73.86936999999999,
27,10457,40.846745,-73.89860999999999,
28,10025,40.798502,-73.96811,
29,10026,40.802853000000006,-73.95470999999999,
30,11224,40.576589,-73.99172,
31,10463,40.881085999999996,-73.90749,
32,11225,40.662892,-73.95509,
33,10467,40.872265000000006,-73.86936999999999,
34,11102,40.771285999999996,-73.92461999999999,
35,10461,40.842917,-73.83819,
36,10038,40.709677,-74.00365,
37,10027,40.812665,-73.95499000000001,
38,10009,40.727093,-73.97864,
39,10452,40.838745,-73.92234,
40,11415,40.706903000000004,-73.82973,
41,11421,40.690870000000004,-73.85828000000001,
42,10452,40.838745,-73.92234,
43,11226,40.645255999999996,-73.95553000000001,
44,10026,40.802853000000006,-73.95470999999999,
45,10456,40.829676,-73.90856,
46,11102,40.771285999999996,-73.92461999999999,
47,10458,40.864166,-73.88880999999999,
48,11212,40.662191,-73.91328,
49,10456,40.829676,-73.90856,
50,10028,40.776777,-73.9541,
51,10454,40.805968,-73.91628,
52,11201,40.695285999999996,-73.98907,
53,11369,40.762854,-73.87051,
54,10470,40.900628999999995,-73.86072,
55,10314,40.606336999999996,-74.14513000000001,
56,11212,40.662191,-73.91328,
57,10452,40.838745,-73.92234,
58,11691,40.60002,-73.75962,
59,11215,40.667508000000005,-73.9856,
60,10469,40.868643,-73.84735,
61,11101,40.745340999999996,-73.93907,
62,10452,40.838745,-73.92234,
63,10453,40.853017,-73.91214000000001,
64,11221,40.691234,-73.92636999999999,
65,10456,40.829676,-73.90856,
66,10459,40.825432,-73.89327,
67,11212,40.662191,-73.91328,
68,10038,40.709677,-74.00365,
69,10019,40.765714,-73.9856,
70,10456,40.829676,-73.90856,
71,11373,40.736076000000004,-73.87804,
72,11209,40.62327,-74.0295,
73,11436,40.674146,-73.79687,
74,11237,40.703355,-73.91993000000001,
75,10453,40.853017,-73.91214000000001,
76,11210,40.627946,-73.94552,
77,11213,40.670937,-73.93459,
78,10456,40.829676,-73.90856,
79,11101,40.745340999999996,-73.93907,
80,10029,40.791585999999995,-73.94575,
81,10461,40.842917,-73.83819,
82,11691,40.60002,-73.75962,
83,10453,40.853017,-73.91214000000001,
84,10028,40.776777,-73.9541,
85,11691,40.60002,-73.75962,
86,11208,40.672666,-73.87248000000001,
87,10040,40.858703999999996,-73.92853000000001,
88,11217,40.68209,-73.97783000000001,
89,10455,40.815559,-73.90771,
90,10036,40.759510999999996,-73.99019,
