PRECINCT,MISCELLANEOUS PENAL LAW,OTHER OFFENSES RELATED TO THEFT,OTHER STATE LAWS,ASSAULT 3 & RELATED OFFENSES,ROBBERY,DANGEROUS DRUGS,OFFENSES INVOLVING FRAUD,PETIT LARCENY,FELONY ASSAULT,DANGEROUS WEAPONS,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,INTOXICATED/IMPAIRED DRIVING,INTOXICATED & IMPAIRED DRIVING,CRIMINAL MISCHIEF & RELATED OFFENSES,GRAND LARCENY,VEHICLE AND TRAFFIC LAWS,BURGLARY,OFFENSES AGAINST PUBLIC ADMINISTRATION,OTHER TRAFFIC INFRACTION,SEX CRIMES,ARSON,CRIMINAL TRESPASS,BURGLAR'S TOOLS,ALCOHOLIC BEVERAGE CONTROL LAW,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),FORGERY,OTHER STATE LAWS (NON PENAL LAW),ENDAN WELFARE INCOMP,OFF. AGNST PUB ORD SENSBLTY &,FRAUDS,PROSTITUTION & RELATED OFFENSES,OFFENSES AGAINST THE PERSON,POSSESSION OF STOLEN PROPERTY 5,OFFENSES AGAINST PUBLIC SAFETY,OFFENSES RELATED TO CHILDREN,ADMINISTRATIVE CODE,GRAND LARCENY OF MOTOR VEHICLE,DISORDERLY CONDUCT,RAPE,,POSSESSION OF STOLEN PROPERTY,FORCIBLE TOUCHING,F.C.A. P.I.N.O.S.,MURDER & NON-NEGL. MANSLAUGHTER,MOVING INFRACTIONS,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",CRIMINAL MISCHIEF & RELATED OF,GAMBLING,HARRASSMENT 2,CHILD ABANDONMENT/NON SUPPORT 1,JOSTLING,ANTICIPATORY OFFENSES,FRAUDULENT ACCOSTING,OTHER STATE LAWS (NON PENAL LA,THEFT-FRAUD,ADMINISTRATIVE CODES,KIDNAPPING & RELATED OFFENSES,PARKING OFFENSES,LOITERING,LOITERING FOR DRUG PURPOSES,"LOITERING/GAMBLING (CARDS, DICE, ETC)",UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,ABORTION,NEW YORK CITY HEALTH CODE,CHILD ABANDONMENT/NON SUPPORT,ESCAPE 3,HOMICIDE-NEGLIGENT-VEHICLE,DISRUPTION OF A RELIGIOUS SERVICE,"UNDER THE INFLUENCE, DRUGS",HARASSMENT,FORTUNE TELLING,"LOITERING,BEGGING",OFFENSES AGAINST MARRIAGE UNCLASSIFIED,NYS LAWS-UNCLASSIFIED FELONY,MURDER & NON-NEGL. MANSLAUGHTE,OFFENSES AGAINST PUBLIC ADMINI,UNAUTHORIZED USE OF A VEHICLE,OTHER OFFENSES RELATED TO THEF,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",THEFT OF SERVICES,FOR OTHER AUTHORITIES,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,DISRUPTION OF A RELIGIOUS SERV,"LOITERING/GAMBLING (CARDS, DIC",KIDNAPPING,NYS LAWS-UNCLASSIFIED VIOLATION,UNLAWFUL POSS. WEAP. ON SCHOOL
88,1379,3294,2529,3195,1547,7116,39,1036,1655,955,346,57,355,1072,963,982,516,899,659,184,9,1429,96,13,41,669,130,1,66,159,94,157,3208,9,4,319,91,191,20,0,125,39,38,60,50,0,83,53,19,3,1,3,8,24,32,0,15,1,4,1,0,1,0,6,1,4,0,0,0,62,0,0,0,4,4,23,1,59,0,0,2,0,0,0,0,0,0
81,2811,6367,4250,5991,2279,16754,42,1090,2933,2877,471,121,633,1426,748,1693,1082,1573,1367,250,24,2196,33,37,66,644,364,0,93,231,490,176,637,15,69,326,234,344,70,0,185,44,82,188,67,2,106,288,38,14,2,9,1,63,27,0,28,1,6,0,33,2,0,15,1,2,2,0,1,117,0,0,0,9,14,37,3,68,0,4,4,1,0,0,0,0,0
108,1395,1764,2004,4964,1020,3466,150,922,1441,882,446,257,1821,2204,1157,2532,480,1050,2004,407,18,1162,85,53,106,734,336,2,63,152,847,281,636,8,23,143,156,356,61,0,144,156,51,54,105,2,89,35,10,6,1,5,0,21,65,1,23,2,0,0,1,1,0,5,0,1,3,0,0,135,0,0,0,18,7,25,13,22,0,0,5,0,0,0,0,0,0
94,964,1512,1125,2547,731,3259,27,1138,921,494,246,88,1014,1619,689,738,658,516,889,102,5,558,87,24,50,258,117,1,41,62,21,141,417,8,1,73,83,100,25,0,86,49,7,24,71,0,104,16,11,1,0,0,0,7,20,1,10,1,6,0,1,1,0,8,0,1,2,2,0,69,0,0,0,8,0,21,1,21,0,0,0,0,0,0,0,0,0
120,4012,729,744,10572,3117,25069,223,2208,4010,4264,1075,169,1894,3895,2490,3578,1619,4974,2605,948,62,2634,53,78,422,1204,412,8,153,480,741,507,1878,54,10,6,585,167,400,0,324,183,243,297,84,8,214,65,42,5,1,15,6,120,210,0,44,1,0,8,2,2,0,0,0,7,4,0,0,162,0,1,0,32,34,200,7,22,1,0,19,1,2,0,1,0,0
13,946,10762,5814,4090,1386,7138,569,5356,1704,1899,633,52,701,1511,2796,1027,1259,1279,814,448,29,1310,355,4,58,1429,2495,0,159,352,493,338,4744,10,4,188,54,512,38,0,397,529,63,58,33,3,147,87,44,6,17,7,82,171,171,1,2,0,11,0,3,2,0,7,1,8,1,0,0,139,0,0,0,12,2,86,1,138,0,8,3,0,0,0,0,0,0
10,1035,2411,2119,2969,1064,7450,195,1233,1248,1025,347,110,2164,1119,1632,3108,549,978,2398,129,4,2127,71,5,66,729,729,1,74,167,203,154,1299,14,4,32,46,315,24,0,278,71,1705,45,116,2,96,19,11,0,20,11,33,25,135,1,8,0,0,1,0,0,0,5,0,0,0,0,0,94,0,0,0,6,7,56,2,18,0,0,122,0,0,0,0,0,0
50,675,493,389,4337,938,6043,160,1469,1347,1134,584,83,770,1306,698,2017,474,1094,1240,177,18,1305,43,11,78,356,88,6,88,83,36,192,530,14,12,3,75,31,27,0,138,40,181,129,39,0,62,45,11,3,1,2,0,26,80,0,14,0,0,5,0,1,0,0,2,1,2,1,0,212,0,0,0,9,33,67,1,8,0,0,22,3,0,0,0,0,0
26,1131,5603,3416,2703,1229,5839,78,1266,1090,1192,498,62,709,758,1141,2470,472,1101,1817,161,6,2148,45,12,79,728,328,1,87,231,24,287,616,9,7,19,92,269,36,0,151,44,27,92,65,1,89,79,23,3,0,2,5,34,54,0,20,0,1,5,5,0,1,1,2,0,2,0,0,103,0,0,0,5,5,58,4,37,0,5,6,0,0,0,0,0,0
22,96,5,133,267,234,1303,23,162,81,107,534,2,30,49,128,387,8,217,592,31,0,16,3,0,6,41,1778,0,7,21,0,23,118,0,1,12,2,40,5,0,12,14,3,1,8,0,2,1,3,0,0,2,1,2,7,0,1,0,1,3,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
