PRECINCT,MISCELLANEOUS PENAL LAW,OTHER OFFENSES RELATED TO THEFT,OTHER STATE LAWS,ASSAULT 3 & RELATED OFFENSES,ROBBERY,DANGEROUS DRUGS,OFFENSES INVOLVING FRAUD,PETIT LARCENY,FELONY ASSAULT,DANGEROUS WEAPONS,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,INTOXICATED/IMPAIRED DRIVING,INTOXICATED & IMPAIRED DRIVING,CRIMINAL MISCHIEF & RELATED OFFENSES,GRAND LARCENY,VEHICLE AND TRAFFIC LAWS,BURGLARY,OFFENSES AGAINST PUBLIC ADMINISTRATION,OTHER TRAFFIC INFRACTION,SEX CRIMES,ARSON,CRIMINAL TRESPASS,BURGLAR'S TOOLS,ALCOHOLIC BEVERAGE CONTROL LAW,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),FORGERY,OTHER STATE LAWS (NON PENAL LAW),ENDAN WELFARE INCOMP,OFF. AGNST PUB ORD SENSBLTY &,FRAUDS,PROSTITUTION & RELATED OFFENSES,OFFENSES AGAINST THE PERSON,POSSESSION OF STOLEN PROPERTY 5,OFFENSES AGAINST PUBLIC SAFETY,OFFENSES RELATED TO CHILDREN,ADMINISTRATIVE CODE,GRAND LARCENY OF MOTOR VEHICLE,DISORDERLY CONDUCT,RAPE,,POSSESSION OF STOLEN PROPERTY,FORCIBLE TOUCHING,F.C.A. P.I.N.O.S.,MURDER & NON-NEGL. MANSLAUGHTER,MOVING INFRACTIONS,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",CRIMINAL MISCHIEF & RELATED OF,GAMBLING,HARRASSMENT 2,CHILD ABANDONMENT/NON SUPPORT 1,JOSTLING,ANTICIPATORY OFFENSES,FRAUDULENT ACCOSTING,OTHER STATE LAWS (NON PENAL LA,THEFT-FRAUD,ADMINISTRATIVE CODES,KIDNAPPING & RELATED OFFENSES,PARKING OFFENSES,LOITERING,LOITERING FOR DRUG PURPOSES,"LOITERING/GAMBLING (CARDS, DICE, ETC)",UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,ABORTION,NEW YORK CITY HEALTH CODE,CHILD ABANDONMENT/NON SUPPORT,ESCAPE 3,HOMICIDE-NEGLIGENT-VEHICLE,DISRUPTION OF A RELIGIOUS SERVICE,"UNDER THE INFLUENCE, DRUGS",HARASSMENT,FORTUNE TELLING,"LOITERING,BEGGING",OFFENSES AGAINST MARRIAGE UNCLASSIFIED,NYS LAWS-UNCLASSIFIED FELONY,MURDER & NON-NEGL. MANSLAUGHTE,OFFENSES AGAINST PUBLIC ADMINI,UNAUTHORIZED USE OF A VEHICLE,OTHER OFFENSES RELATED TO THEF,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",THEFT OF SERVICES,FOR OTHER AUTHORITIES,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,DISRUPTION OF A RELIGIOUS SERV,"LOITERING/GAMBLING (CARDS, DIC",KIDNAPPING,NYS LAWS-UNCLASSIFIED VIOLATION,UNLAWFUL POSS. WEAP. ON SCHOOL
60,2716,3672,4649,6465,2790,16077,205,1674,2825,2208,968,141,1238,1911,1426,1318,753,1691,1118,377,33,2309,70,461,166,660,259,5,141,274,956,252,1000,7,16,543,178,295,67,0,189,90,52,128,79,0,104,56,43,7,15,8,2,47,26,3,25,4,4,4,2,1,0,14,1,2,0,1,2,122,0,0,0,12,19,87,13,96,0,0,6,2,0,0,0,0,0
67,4680,2386,3087,11910,3049,19421,391,1836,5206,4816,986,218,1503,2601,1299,3643,1410,1861,6777,453,31,1714,24,530,298,2645,382,2,168,349,69,408,825,20,82,316,557,341,140,0,377,92,95,173,111,2,223,456,46,7,1,4,0,84,50,8,37,9,17,0,15,0,0,7,0,5,1,0,1,159,0,0,0,14,9,139,9,25,0,1,5,3,0,0,1,0,0
28,2096,7208,2835,4459,1608,21138,262,3723,1984,1674,833,68,372,1044,878,2108,474,2232,1916,239,9,3024,135,74,66,1343,1404,0,110,213,46,181,3338,13,7,51,69,448,46,0,203,64,37,100,54,2,84,557,32,5,3,20,48,268,41,1,22,0,10,35,40,0,0,5,1,4,1,0,0,95,0,0,0,10,3,84,0,61,0,5,6,1,0,2,0,0,0
121,1191,405,56,2394,388,3991,82,3555,1060,880,171,134,1531,824,784,1298,371,659,768,171,10,193,62,20,70,184,71,3,106,106,137,80,235,25,0,1,85,3,29,0,84,23,43,49,7,2,160,2,2,4,0,1,3,48,27,0,5,0,0,0,0,0,0,0,2,1,1,0,0,17,0,0,0,36,6,71,17,12,0,0,5,2,0,0,0,0,0
104,2220,2457,1347,6782,1609,10466,162,2135,2010,1960,901,272,1529,3439,1281,1712,1044,1944,2073,468,15,1223,132,34,423,729,135,9,136,130,487,301,1616,10,13,247,279,257,88,0,232,83,46,75,123,1,158,22,21,6,0,1,2,21,58,3,19,2,1,6,0,0,1,2,1,1,2,1,0,136,1,0,0,6,2,93,19,24,0,0,7,3,0,0,0,0,0
115,3075,4055,6902,11107,2695,12436,389,2180,3836,4456,1598,467,4619,2700,1618,4617,1014,2957,5323,937,31,2387,162,91,259,2803,1075,8,197,294,2749,367,1072,16,17,380,360,1490,200,0,306,280,171,133,737,1,197,102,22,3,4,5,0,39,142,1,52,7,9,2,4,0,0,6,0,12,2,1,0,215,0,0,0,15,13,108,10,87,0,42,25,1,1,0,0,0,0
7,1403,2143,1727,4386,1217,9731,231,1458,1489,1771,617,68,1055,1986,1060,2637,502,1535,1669,205,16,3434,92,31,52,609,893,5,153,109,189,195,1047,10,9,29,57,183,37,0,176,55,42,59,71,0,168,107,19,0,5,7,21,94,82,0,10,0,5,1,1,0,0,1,2,1,1,0,0,129,0,0,0,14,8,94,1,21,0,19,4,0,0,0,0,2,0
100,2143,1663,1797,3384,653,3413,44,1010,1345,1061,432,80,365,981,502,1132,541,887,1258,276,8,916,16,12,63,335,143,3,82,99,17,142,472,18,24,137,61,358,36,0,73,40,14,101,47,1,102,10,18,2,0,1,0,29,14,1,21,0,0,3,0,2,0,2,1,0,0,0,0,89,0,0,0,2,8,27,4,26,0,0,0,3,0,0,0,0,0
34,1738,3265,2378,5553,1733,20718,482,1383,2255,3252,843,196,2189,1612,1076,4570,812,2287,2957,249,29,4536,60,319,221,1050,1090,2,108,238,180,702,686,70,21,48,287,339,74,0,250,74,159,152,110,0,112,551,14,7,5,48,7,157,81,3,32,0,4,21,3,3,0,1,0,3,2,0,0,140,0,0,0,29,14,102,12,26,0,2,13,4,0,0,0,0,0
106,2433,2327,3255,5742,1986,7267,209,1495,2229,1702,534,265,1641,2114,1321,1586,984,1606,1729,387,19,1252,65,57,143,703,391,6,101,118,1054,206,887,50,205,164,376,900,79,0,250,72,55,134,154,3,216,30,24,5,0,2,1,32,62,25,24,7,2,0,1,0,1,10,0,2,0,3,0,59,0,0,0,7,7,61,15,28,0,0,12,1,0,0,0,0,0
14,3618,29264,18985,6106,1818,13910,1363,18377,2254,3113,2096,60,891,2111,7254,3322,2569,3989,2906,694,10,4132,370,83,82,4573,8406,2,184,561,1130,370,22029,24,33,651,46,2587,50,0,798,1208,325,64,73,0,188,152,113,1,83,15,941,293,592,0,16,0,413,13,17,0,0,57,1,5,0,2,0,144,8,0,0,11,2,205,2,274,0,54,16,0,0,0,0,0,0
52,2601,7898,3329,10994,3666,35104,307,6774,4844,4847,1853,143,1269,2799,1782,4838,1248,3401,2714,603,27,5832,113,61,173,1507,1357,9,323,356,1404,520,1970,32,25,8,261,94,133,0,292,118,227,355,53,5,204,310,25,16,5,4,38,137,77,0,63,0,3,2,1,1,0,0,4,10,1,1,0,201,0,0,0,27,31,186,15,77,0,2,34,2,0,0,0,0,0
90,2118,4819,3048,4705,2130,12945,50,1530,2172,1682,575,89,765,2288,1190,1269,1273,1107,1251,235,26,2505,93,114,103,488,261,1,110,190,44,176,938,9,120,430,155,263,68,0,238,82,39,122,57,0,177,213,13,3,0,5,1,37,39,7,13,1,2,1,0,0,0,19,0,3,1,0,1,74,0,0,0,2,19,63,7,61,0,4,5,2,0,0,0,0,0
103,4095,7328,8777,8922,3455,20700,674,2656,3780,5498,907,249,1266,2589,1446,3956,946,3937,4228,510,33,2434,102,81,193,2246,1531,10,141,582,2400,285,2884,52,38,342,521,1019,152,0,302,145,77,311,246,5,208,179,42,5,15,2,105,81,84,5,52,14,4,3,48,1,0,7,0,5,1,0,0,151,0,0,0,17,19,165,7,212,0,30,7,2,0,0,0,0,0
6,889,4053,3995,3009,2530,13064,219,3110,1274,920,848,82,2295,1385,2256,1286,804,1262,790,187,5,1092,208,16,51,682,965,2,62,199,1437,141,3362,5,13,91,33,601,29,0,452,121,35,37,85,1,116,31,31,2,28,1,97,55,76,1,10,1,13,2,0,0,0,2,0,3,1,0,0,42,0,0,0,4,1,73,2,43,0,1,2,0,0,0,0,0,0
44,3114,12476,2368,14940,4551,43368,932,6165,6264,8007,3545,153,1283,4225,2553,5006,1329,6368,4079,922,38,10884,132,114,173,2430,4491,10,212,763,277,1022,2207,91,313,162,319,286,262,0,400,181,524,564,156,13,586,611,45,31,7,28,3,304,225,0,63,0,1,5,13,6,0,0,4,8,2,1,0,265,0,0,0,54,55,360,5,162,2,37,28,4,0,0,0,0,0
1,807,4277,6171,2577,658,1620,2920,5912,812,699,734,56,1377,2278,2832,2148,767,1637,2624,199,13,809,290,26,45,1607,7040,1,83,204,101,154,6139,70,3,48,48,1130,32,0,273,115,128,41,67,0,381,105,21,4,28,5,78,44,255,0,10,0,16,1,1,0,0,11,0,8,3,2,0,108,1,0,0,7,5,94,1,58,0,130,10,0,0,0,0,0,0
47,1694,5102,2268,11092,3474,24540,412,2242,4840,5380,1092,210,1330,2292,1292,4136,1560,2963,1988,504,30,3124,42,199,194,981,404,14,144,285,1266,390,546,40,118,9,402,63,156,0,319,135,322,505,66,16,212,75,22,19,1,6,0,118,46,1,45,0,1,5,0,1,0,0,0,8,4,0,0,197,1,0,0,43,35,221,7,81,1,1,5,3,0,0,0,0,0
43,2015,4656,987,16402,4172,36264,477,4349,5028,5917,2469,180,1454,3590,1460,5537,1032,4304,2412,770,29,10243,75,52,196,893,875,11,177,381,178,952,2069,75,72,7,313,120,150,0,237,138,240,253,216,4,250,275,73,10,6,6,1,154,65,0,58,0,0,211,0,1,0,0,1,1,0,0,0,279,0,0,0,20,14,174,10,60,1,0,21,1,0,0,0,0,0
78,755,1680,2400,2243,948,3492,66,2965,827,565,397,60,564,681,1230,934,396,479,1223,116,11,591,79,2,53,451,663,3,60,109,235,83,1073,7,1,159,72,131,26,0,110,53,64,24,43,0,55,7,16,0,6,1,1,14,41,0,13,0,2,0,0,0,0,13,0,0,0,0,0,38,0,0,0,8,1,27,4,80,0,0,5,0,0,0,0,0,0
42,1528,5207,1786,10877,2443,25856,230,2756,3831,4441,1186,136,770,2242,912,3373,815,3047,924,537,47,4926,26,46,102,562,293,5,201,357,843,431,737,23,23,6,205,62,127,0,248,143,161,434,23,10,221,215,18,7,2,8,0,68,28,0,32,0,0,0,4,4,0,0,2,3,0,1,0,208,0,0,0,31,27,179,5,51,0,0,12,1,0,0,0,0,0
19,702,2525,1037,3286,1033,1650,267,4550,1038,571,535,135,1545,1220,4460,2995,1317,934,2712,228,21,613,257,48,60,1339,710,3,105,152,265,229,5072,4,7,23,47,358,17,0,237,250,49,22,111,2,75,10,19,4,7,12,41,3,238,0,20,0,3,1,0,0,0,0,2,1,1,0,0,119,0,0,0,5,1,42,2,38,0,1,2,2,0,0,0,0,0
40,3090,16478,2796,14709,4074,40773,261,4677,5277,6415,2340,195,1257,3084,1628,4554,931,4722,1941,699,38,15494,89,66,167,1503,1347,12,482,763,201,530,2081,22,56,24,224,144,135,0,347,147,304,456,58,1,347,319,59,18,0,4,2,155,65,1,32,1,6,10,1,1,1,0,4,12,2,4,0,368,0,0,0,28,75,320,13,237,1,10,18,0,0,2,0,0,0
24,1133,2752,3031,3371,1454,7057,111,2483,1360,771,453,58,743,1120,1516,1523,669,1196,786,184,8,2449,56,29,70,493,411,4,77,88,37,212,1652,6,10,31,83,245,31,0,172,81,41,68,46,0,54,256,28,4,8,5,3,26,54,0,7,0,0,12,1,0,1,2,0,3,2,0,1,106,0,0,0,4,4,38,0,31,0,0,3,1,0,0,0,0,0
66,1321,425,1113,3853,1315,3123,54,1214,1536,580,316,116,903,1260,744,798,716,336,842,263,14,530,84,35,260,338,187,4,44,69,249,156,995,13,6,136,74,97,55,0,101,91,19,39,49,0,65,117,6,5,1,1,6,19,40,1,2,0,6,0,1,1,0,6,0,2,1,3,0,64,0,0,0,10,3,14,19,11,0,0,2,0,0,0,0,0,0
79,3589,6543,7989,8219,2588,25095,338,2203,3787,3335,762,117,956,2180,1031,2164,1165,2571,2936,346,35,3967,88,67,111,1305,850,5,55,349,171,345,1582,14,24,862,345,656,91,0,232,91,78,156,78,0,169,531,64,8,1,15,6,127,47,4,25,5,12,2,44,2,1,25,2,5,0,0,1,107,0,0,0,22,10,101,5,140,0,5,3,1,0,0,0,0,0
46,2025,9335,1278,13861,3455,41678,677,2328,4966,6587,1544,209,1693,2801,1274,4307,919,3476,3377,834,33,8631,94,262,112,1467,1249,13,190,311,522,635,777,67,68,9,212,76,174,0,335,128,236,374,85,5,222,517,29,14,2,5,160,274,74,0,51,1,1,2,1,1,0,0,2,4,0,0,0,249,0,0,0,20,37,195,11,158,2,8,39,2,0,0,0,0,0
49,1168,3990,1138,6989,2147,8156,252,2556,2434,1781,1084,100,632,1680,906,3488,816,1603,1642,374,33,1375,47,147,122,530,220,6,231,172,188,277,718,18,32,12,129,59,90,0,191,90,385,173,30,0,178,85,27,8,1,14,0,180,63,0,23,0,0,1,0,0,0,0,1,0,6,0,0,210,0,0,0,16,25,99,9,23,0,0,58,2,0,0,0,0,0
77,3284,3797,3934,7083,3150,25004,76,1263,3168,3081,474,116,654,1737,1165,2122,1069,2006,2820,1178,28,2196,66,75,94,1208,385,2,251,236,132,198,544,13,9,411,260,469,1635,0,343,248,113,209,83,2,132,353,43,8,2,3,2,80,65,6,27,5,2,0,16,0,0,22,1,5,2,0,0,107,0,0,0,14,15,70,10,89,0,4,8,1,0,0,0,0,0
30,1709,4355,2607,5145,1606,16471,93,1055,1905,2073,838,73,1014,1270,773,2432,419,1769,2401,316,8,1784,34,99,126,570,449,6,92,258,50,261,394,26,11,31,64,284,66,0,171,73,56,145,72,0,97,436,31,1,4,10,9,132,98,2,19,4,2,15,4,0,0,1,2,2,1,0,0,181,0,0,0,16,7,90,0,36,0,0,3,0,0,0,0,0,0
33,1557,3577,2056,4816,1522,25657,218,2013,2102,2203,825,103,1550,1652,798,3508,513,1862,2407,257,12,3642,45,240,164,1011,603,1,125,297,352,367,490,185,17,32,111,517,68,0,185,62,173,106,99,5,90,537,29,3,1,24,4,69,220,2,34,0,3,15,11,1,0,1,0,5,2,2,0,122,0,0,0,16,6,52,8,25,0,0,36,0,0,0,0,0,0
48,2029,3556,1122,12065,3508,25398,508,2735,4195,4378,1596,108,1157,2729,1214,3401,1065,3560,759,512,41,4904,55,105,165,685,672,17,192,262,1041,506,762,32,35,5,211,134,123,0,271,100,158,359,40,4,292,315,19,23,4,4,7,155,64,0,29,0,2,2,0,7,0,0,1,5,1,6,0,174,0,0,0,19,22,177,12,26,1,1,12,2,0,0,0,0,0
101,3161,1370,2208,5025,1244,10413,58,679,2462,2833,343,157,637,1169,480,1947,614,2001,2169,433,12,2891,44,25,141,478,283,12,95,260,84,120,314,13,9,150,174,980,98,0,127,69,81,300,76,3,115,27,24,11,0,0,0,95,20,1,26,4,0,0,2,1,1,2,0,1,0,0,0,42,0,0,0,6,20,64,21,40,1,0,4,0,0,2,0,0,0
20,495,1872,1106,2638,684,1929,106,3522,757,503,354,45,839,811,1774,1723,438,1024,1793,189,9,1057,170,7,45,586,836,4,54,93,171,160,1934,7,7,21,41,262,28,0,191,164,25,16,49,0,64,4,24,2,3,3,14,2,65,0,11,0,6,4,0,1,0,0,1,2,1,0,0,75,0,0,0,5,4,41,1,37,0,0,1,0,0,0,0,0,0
41,4517,6630,1597,7993,3426,20037,161,2107,5496,2456,1491,104,689,2163,1221,1993,919,8863,1006,1652,95,3908,38,73,84,702,475,4,147,267,3249,248,626,21,57,2,225,119,1458,0,210,280,405,359,34,6,128,102,38,14,1,9,0,110,92,0,41,0,0,4,0,0,1,0,3,8,1,0,0,416,0,0,0,8,20,366,8,93,0,2,16,0,0,1,1,0,0
68,1675,532,790,3318,786,6671,193,1801,1190,1104,438,170,2013,1135,641,1976,567,564,1715,169,26,455,59,31,135,439,144,1,62,104,187,179,2001,42,7,206,103,116,32,0,118,55,35,41,95,0,70,50,11,2,1,4,0,57,36,2,8,2,1,1,0,0,1,3,0,0,2,1,0,74,0,0,0,36,1,29,7,10,0,0,1,0,0,0,0,0,0
62,2140,998,1443,4898,1564,5439,74,1903,1675,1374,456,119,1051,1592,998,715,754,722,915,235,22,518,108,120,190,457,204,1,82,125,441,239,2120,20,73,293,111,83,33,0,126,89,52,57,52,1,104,61,10,4,3,1,4,33,39,3,17,0,2,0,2,0,0,10,0,0,3,0,0,86,0,0,0,5,3,40,5,20,0,0,3,0,0,0,2,0,0
71,2848,2836,4405,7871,2933,15141,305,1234,3492,2818,656,113,607,1689,1164,3025,809,1789,3800,314,27,1477,36,44,150,1170,400,2,133,319,19,280,936,7,9,693,259,378,83,0,218,115,40,143,120,1,134,292,39,4,1,14,0,64,62,4,21,4,12,0,26,1,0,11,1,9,2,1,0,70,0,0,0,19,10,89,12,30,1,0,2,0,0,1,0,0,0
72,2013,2178,2799,5552,1995,11549,136,1571,2557,1607,583,174,1846,1699,1200,1809,706,924,1473,339,26,1099,100,94,174,1061,575,4,92,146,1584,337,792,22,26,548,197,177,83,0,154,122,110,101,101,1,126,311,9,2,0,6,7,72,44,1,28,4,1,0,6,0,0,31,2,4,1,1,0,82,0,0,0,53,5,66,17,66,0,1,7,0,1,0,0,0,0
32,3043,3590,3763,8149,2047,19668,233,2018,3118,3679,1325,115,656,1564,966,4087,590,3380,2495,426,16,4497,25,123,183,952,935,5,230,427,39,422,658,35,23,155,150,1036,106,0,235,81,119,290,126,2,148,681,40,13,2,13,3,312,69,0,30,0,5,23,92,0,0,17,1,4,1,0,0,278,0,0,0,35,20,174,5,31,0,0,17,1,0,0,0,0,0
110,1984,3598,6283,7427,2768,7791,469,6772,3004,2520,714,274,2870,1970,1907,1750,766,2130,2280,629,25,1896,249,88,143,1506,1693,3,114,179,2155,297,6495,20,20,378,187,1309,155,0,253,224,91,108,433,3,134,99,13,4,4,1,1,33,97,0,17,1,2,0,7,1,0,4,2,5,2,1,0,93,0,0,0,20,6,82,15,49,0,1,1,1,0,0,1,0,0
69,1664,2498,2446,5002,1434,7361,82,722,1911,2152,518,137,898,1239,713,2127,588,934,2501,238,15,923,39,23,118,1044,170,3,131,147,57,203,444,13,8,150,192,99,49,0,198,52,38,118,45,2,95,29,20,3,1,3,1,21,60,5,16,4,0,0,0,0,0,7,2,2,0,0,0,67,0,0,0,16,7,56,7,7,0,0,2,0,0,6,0,0,0
70,3179,3217,2943,8055,2761,14211,221,3476,3075,3158,808,139,1018,2408,1469,2721,986,1432,3422,429,19,1803,102,68,274,1756,338,11,139,250,137,259,2565,15,2,473,194,335,93,0,332,112,61,178,101,4,125,273,43,4,1,3,2,17,75,6,24,1,3,8,18,0,0,11,1,4,1,0,0,140,0,0,0,30,13,55,10,32,0,2,15,0,1,0,0,0,0
109,2948,1259,2493,7685,2976,8230,174,6134,2620,1299,981,226,2890,2410,2172,2501,1299,1004,3966,542,35,1410,288,110,280,991,405,7,144,124,2455,216,3156,31,12,99,212,270,103,0,260,143,166,137,188,1,136,131,16,11,13,7,0,83,224,0,29,1,0,1,4,1,0,2,1,3,2,0,0,175,0,0,0,16,6,39,19,23,0,1,40,3,0,0,0,0,0
102,5257,437,1266,7565,2085,7358,159,1272,2884,2367,1117,340,2578,2535,2511,1282,1051,3818,1465,593,38,933,60,73,315,1126,467,8,166,162,316,266,885,24,15,197,478,424,167,0,252,133,255,180,87,3,163,39,24,4,1,2,0,275,507,3,39,1,11,0,0,2,0,0,0,4,4,2,0,163,0,0,0,14,8,217,10,11,0,13,23,1,0,0,0,0,0
113,5285,151,1952,9976,2082,15922,279,2071,3986,6204,807,355,1495,2384,1795,10873,1122,3436,6823,698,30,3505,74,54,343,2727,804,8,259,672,1685,457,1129,35,27,223,616,504,131,0,843,100,2336,395,403,1,310,83,26,11,0,5,12,245,202,18,54,26,11,2,5,1,0,0,2,5,1,0,0,197,0,0,0,31,30,265,24,16,0,0,42,2,0,0,0,0,0
75,8530,9539,7956,18529,5808,48361,237,4319,8481,7789,1970,302,1854,4499,2262,4466,1955,4303,7368,832,54,4097,97,149,272,2889,1134,5,318,1005,3366,677,2515,50,16,1008,807,522,222,0,618,154,136,297,149,5,336,376,57,19,16,30,5,139,87,19,109,17,7,6,18,2,0,27,2,8,2,0,2,549,0,0,0,30,30,171,15,109,0,12,13,4,0,0,0,0,0
